EventID , Time , Latitude , Longitude , Depth/km , Author , Catalog , Contributor , ContributorID , MagType , Magnitude , MagAuthor , EventLocationName
11327380,2020-10-20T00:41:39,-3.7972,100.0692,10,us,NEIC PDE,us,us6000c9rb,mb,4.6,us,"SOUTHERN SUMATRA, INDONESIA"
11334856,2020-10-20T01:52:08,-3.4578,100.2685,10,us,NEIC PDE,us,us6000cc4x,mb,4.4,us,"SOUTHERN SUMATRA, INDONESIA"
11329869,2020-10-20T13:46:59,-1.4961,99.2547,38.48,us,NEIC PDE,us,us6000cc5v,mb,4.4,us,"SOUTHERN SUMATRA, INDONESIA"
11330113,2020-10-21T14:35:13,-3.2469,100.5198,37.68,us,NEIC PDE,us,us6000canu,mb,4.9,us,"SOUTHERN SUMATRA, INDONESIA"
11328228,2020-10-21T15:17:53,-3.3985,100.3206,10,us,NEIC PDE,us,us6000capt,mb,4.8,us,"SOUTHERN SUMATRA, INDONESIA"
11333786,2020-10-26T19:37:25,-1.5332,100.4899,79.22,us,NEIC PDE,us,us7000c81i,mb,4.2,us,"SOUTHERN SUMATRA, INDONESIA"
11332723,2020-11-01T03:32:59,-5.2225,102.4699,25.95,us,NEIC PDE,us,us7000c8v8,mb,4.8,us,"SOUTHERN SUMATRA, INDONESIA"
11344001,2020-11-16T23:24:39,-4.7595,102.8238,58.24,us,NEIC PDE,us,us6000cqf9,mb,4.4,us,"SOUTHERN SUMATRA, INDONESIA"
11339402,2020-11-17T01:44:09,-2.6769,99.3162,10,"pt,us",NEIC PDE,us,"pt20322000,us7000cfxq",Mww,5.9,us,"SOUTHERN SUMATRA, INDONESIA"
11339850,2020-11-18T04:41:56,-1.8052,100.4248,20.32,us,NEIC PDE,us,us6000cpq3,Mww,5.2,us,"SOUTHERN SUMATRA, INDONESIA"
11339929,2020-11-18T11:37:54,-4.7116,102.8644,84.1,us,NEIC PDE,us,us6000cpsh,mb,4.7,us,"SOUTHERN SUMATRA, INDONESIA"
11340610,2020-11-19T18:10:57,-1.4843,99.6307,53.98,us,NEIC PDE,us,us6000cqge,mb,4.7,us,"SOUTHERN SUMATRA, INDONESIA"
11347389,2020-11-19T20:12:14,-1.1384,100.8382,102.22,us,NEIC PDE,us,us6000crp1,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11355387,2020-11-20T17:14:34,-3.7802,101.4312,35.79,us,NEIC PDE,us,us6000cs1a,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11341309,2020-11-21T16:58:32,-4.3327,102.0569,10,us,NEIC PDE,us,us6000cr97,mb,4.9,us,"SOUTHERN SUMATRA, INDONESIA"
11354935,2020-11-22T06:05:23,-2.0553,100.6254,53.92,us,NEIC PDE,us,us6000csiv,mb,4.2,us,"SOUTHERN SUMATRA, INDONESIA"
11347203,2020-11-23T18:57:07,-4.1499,102.6756,82.23,us,NEIC PDE,us,us7000ck3e,mb,4.2,us,"SOUTHERN SUMATRA, INDONESIA"
11357297,2020-11-26T16:05:03,-3.4918,101.1588,38.25,us,NEIC PDE,us,us7000cl77,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
